collision_avoidance,number_of_deadlocks,constraint_violations,compute_time
50.0,0.0,2,3.526890754699707
100.0,0.0,0,1.684187412261963
100.0,0.0,0,1.9837348461151123
100.0,0.0,0,2.026357650756836
100.0,0.0,1,1.4430263042449951
100.0,0.0,1,3.668541669845581
100.0,0.0,0,2.0316576957702637
100.0,0.0,0,1.9492161273956299
50.0,0.0,0,3.4042437076568604
50.0,0.0,0,3.855642795562744
1,50.0,0.0,1,3.6067287921905518
